from_code,to_code,count,Flight Distance,Flight Time,Direct Flights
ATL,TUP,9,253 miles / 407 km,1 hour
ATL,TUS,668,"1,541 miles / 2480 km","3 hours, 25 minutes",Delta Air Lines
ATL,TYS,2428,152 miles / 244 km,29 minutes,Delta Air Lines
ATL,VLD,938,208 miles / 335 km,37 minutes,Delta Air Lines
ATL,VPS,3046,250 miles / 402 km,43 minutes,Delta Air Lines
ATL,XNA,1769,589 miles / 948 km,"1 hour, 27 minutes",Delta Air Lines
ATW,ATL,743,765 miles / 1231 km,"1 hour, 45 minutes"
ATW,CHS,1,907 miles / 1460 km,"2 hours, 19 minutes"
ATW,CVG,697,411 miles / 661 km,"1 hour, 19 minutes"
ATW,DSM,1,322 miles / 518 km,"1 hour, 9 minutes"
ATW,DTW,1020,296 miles / 477 km,51 minutes
ATW,MKE,1032,96 miles / 154 km,41 minutes
ATW,MSP,90,236 miles / 380 km,46 minutes
ATW,ORD,2288,160 miles / 258 km,35 minutes
ATW,XNA,1,629 miles / 1013 km,"1 hour, 46 minutes"
AUS,ABQ,435,619 miles / 996 km,"1 hour, 44 minutes"
AUS,ATL,2252,813 miles / 1308 km,"1 hour, 45 minutes"
AUS,BNA,792,756 miles / 1217 km,"1 hour, 38 minutes",Southwest Airlines
AUS,BOS,368,"1,698 miles / 2732 km","3 hours, 24 minutes"
AUS,BWI,730,"1,342 miles / 2160 km","2 hours, 47 minutes","Southwest Airlines
Spirit Airlines"
AUS,CLE,380,"1,174 miles / 1890 km","2 hours, 51 minutes"
AUS,CLT,659,"1,032 miles / 1662 km","2 hours, 10 minutes"
AUS,CVG,653,959 miles / 1543 km,"2 hours, 25 minutes"
AUS,DAL,5573,189 miles / 304 km,39 minutes,Southwest Airlines
AUS,DEN,2673,775 miles / 1247 km,"1 hour, 50 minutes","Southwest Airlines
Spirit Airlines"
AUS,DFW,5506,190 miles / 306 km,40 minutes
AUS,DSM,1,813 miles / 1309 km,"2 hours, 8 minutes"
AUS,DTW,1,"1,148 miles / 1848 km","2 hours, 28 minutes",Spirit Airlines
AUS,ELP,1349,528 miles / 850 km,"1 hour, 17 minutes",Southwest Airlines
AUS,EWR,949,"1,503 miles / 2419 km","3 hours, 13 minutes"
AUS,FLL,481,"1,105 miles / 1779 km","2 hours, 19 minutes","Southwest Airlines
Spirit Airlines"
AUS,HOU,2319,148 miles / 239 km,32 minutes,Southwest Airlines
AUS,HRL,367,273 miles / 440 km,46 minutes,Southwest Airlines
AUS,IAD,670,"1,297 miles / 2088 km","2 hours, 44 minutes",Frontier Airlines
AUS,IAH,3691,140 miles / 226 km,33 minutes
AUS,IND,218,919 miles / 1479 km,"2 hours, 20 minutes"
AUS,JAX,226,955 miles / 1536 km,"2 hours, 25 minutes"
AUS,JFK,1358,"1,521 miles / 2448 km","3 hours, 16 minutes"
AUS,LAS,1231,"1,090 miles / 1754 km","2 hours, 34 minutes","Southwest Airlines
Spirit Airlines"
AUS,LAX,1733,"1,241 miles / 1998 km","2 hours, 48 minutes","Southwest Airlines
Spirit Airlines"
AUS,LBB,692,342 miles / 550 km,53 minutes,Southwest Airlines
AUS,LGB,245,"1,226 miles / 1973 km","2 hours, 44 minutes"
AUS,MAF,470,294 miles / 474 km,"1 hour, 5 minutes"
AUS,MCI,459,650 miles / 1045 km,"1 hour, 48 minutes",Southwest Airlines
AUS,MCO,632,994 miles / 1600 km,"2 hours, 9 minutes","Southwest Airlines
Spirit Airlines"
AUS,MDW,712,972 miles / 1564 km,"2 hours, 10 minutes",Southwest Airlines
