from_code,to_code,count,flightdistance,flighttime,airline
ATL,ANC,115,"3,416 miles / 5498 km","7 hours, 20 minutes",<undefined>
ATL,ASE,16,"1,304 miles / 2099 km","3 hours, 7 minutes",<undefined>
ATL,ATW,742,"765 miles / 1231 km","1 hour, 43 minutes",Delta Air Lines
ATL,AUS,2255,"813 miles / 1308 km","1 hour, 57 minutes",Delta Air Lines
ATL,AVL,1936,"164 miles / 264 km","32 minutes",Delta Air Lines
ATL,AVP,584,"714 miles / 1149 km","1 hour, 36 minutes",Delta Air Lines
ATL,BDL,2140,"859 miles / 1383 km","1 hour, 51 minutes",Delta Air Lines
ATL,BGR,270,"1,134 miles / 1825 km","2 hours, 46 minutes",<undefined>
ATL,BHM,2871,"134 miles / 216 km","28 minutes",Delta Air Lines
ATL,BMI,2509,"533 miles / 857 km","1 hour, 18 minutes",Delta Air Lines
ATL,BNA,3096,"214 miles / 344 km","39 minutes",Delta Air Lines
ATL,BOI,41,"1,838 miles / 2958 km","4 hours, 11 minutes",<undefined>
ATL,BOS,5990,"946 miles / 1522 km","2 hours, 2 minutes",Delta Air Lines
ATL,BQK,924,"238 miles / 384 km","40 minutes",Delta Air Lines
ATL,BTR,2665,"449 miles / 722 km","1 hour, 9 minutes",Delta Air Lines
ATL,BTV,500,"960 miles / 1546 km","2 hours, 25 minutes",Delta Air Lines
ATL,BUF,3578,"712 miles / 1146 km","1 hour, 34 minutes",Delta Air Lines
ATL,BWI,5978,"577 miles / 928 km","1 hour, 22 minutes",Delta Air Lines
ATL,BZN,60,"1,640 miles / 2640 km","3 hours, 41 minutes",<undefined>
ATL,CAE,2494,"192 miles / 308 km","33 minutes",Delta Air Lines
ATL,CAK,3902,"528 miles / 850 km","1 hour, 13 minutes",Delta Air Lines
ATL,CHA,2082,"106 miles / 171 km","23 minutes",Delta Air Lines
ATL,CHO,786,"457 miles / 735 km","1 hour, 7 minutes",Delta Air Lines
ATL,CHS,4492,"259 miles / 417 km","42 minutes",Delta Air Lines
ATL,CID,357,"694 miles / 1117 km","1 hour, 41 minutes",Delta Air Lines
ATL,CLE,2865,"554 miles / 892 km","1 hour, 19 minutes",Delta Air Lines
ATL,CLT,6720,"227 miles / 365 km","42 minutes",Delta Air Lines
ATL,CMH,1796,"446 miles / 719 km","1 hour, 6 minutes",Delta Air Lines
ATL,COS,589,"1,184 miles / 1906 km","2 hours, 40 minutes",Delta Air Lines
ATL,CRP,5,"876 miles / 1410 km","2 hours, 15 minutes",<undefined>
ATL,CRW,1430,"363 miles / 584 km","56 minutes",Delta Air Lines
ATL,CSG,1481,"83 miles / 133 km","19 minutes",Delta Air Lines
ATL,CVG,2810,"373 miles / 601 km","58 minutes",Delta Air Lines
ATL,DAB,2413,"366 miles / 589 km","55 minutes",Delta Air Lines
ATL,DAY,4372,"432 miles / 695 km","1 hour, 4 minutes",Delta Air Lines
ATL,DCA,7289,"547 miles / 880 km","1 hour, 18 minutes",Delta Air Lines
ATL,DEN,5726,"1,199 miles / 1930 km","2 hours, 48 minutes",Delta Air Lines
ATL,DFW,9847,"732 miles / 1177 km","1 hour, 52 minutes",Delta Air Lines
ATL,DHN,1397,"171 miles / 274 km","32 minutes",Delta Air Lines
ATL,DSM,1114,"743 miles / 1196 km","1 hour, 45 minutes",Delta Air Lines
ATL,DTW,5612,"594 miles / 956 km","1 hour, 29 minutes",Delta Air Lines
ATL,EGE,110,"1,312 miles / 2112 km","3 hours, 7 minutes",<undefined>
ATL,ELP,575,"1,282 miles / 2064 km","2 hours, 51 minutes",Delta Air Lines
ATL,EVV,1150,"350 miles / 563 km","55 minutes",Delta Air Lines
ATL,EWN,791,"433 miles / 698 km","1 hour, 1 minute",Delta Air Lines
ATL,EWR,8028,"745 miles / 1199 km","1 hour, 44 minutes",Delta Air Lines
ATL,EYW,974,"646 miles / 1040 km","1 hour, 27 minutes",Delta Air Lines
ATL,FAY,2173,"331 miles / 532 km","50 minutes",Delta Air Lines
ATL,FCA,25,"1,841 miles / 2964 km","3 hours, 55 minutes",<undefined>
ATL,FLL,7665,"581 miles / 935 km","1 hour, 25 minutes",Delta Air Lines
ATL,FLO,614,"273 miles / 439 km","1 hour, 3 minutes",<undefined>
ATL,FNT,3132,"644 miles / 1037 km","1 hour, 29 minutes",Delta Air Lines
ATL,FSD,135,"954 miles / 1536 km","2 hours, 12 minutes",Delta Air Lines
ATL,FSM,632,"579 miles / 932 km","1 hour, 25 minutes",Delta Air Lines
ATL,FWA,1028,"508 miles / 817 km","1 hour, 14 minutes",Delta Air Lines
ATL,GNV,2064,"300 miles / 483 km","47 minutes",Delta Air Lines
ATL,GPT,3441,"352 miles / 566 km","57 minutes",Delta Air Lines
ATL,GRB,93,"774 miles / 1246 km","2 hours, 3 minutes",Delta Air Lines
ATL,GRK,642,"803 miles / 1292 km","1 hour, 53 minutes",<undefined>
ATL,GRR,1352,"640 miles / 1031 km","1 hour, 27 minutes",Delta Air Lines
ATL,GSO,2866,"306 miles / 493 km","50 minutes",Delta Air Lines
ATL,GSP,2450,"153 miles / 247 km","30 minutes",Delta Air Lines
ATL,GTR,964,"241 miles / 387 km","43 minutes",Delta Air Lines
ATL,GUC,2,"1,300 miles / 2092 km","3 hours, 6 minutes",<undefined>
ATL,HDN,107,"1,340 miles / 2157 km","3 hours, 10 minutes",<undefined>
ATL,HHH,836,"238 miles / 383 km","59 minutes",Delta Air Lines
ATL,HNL,637,"4,502 miles / 7245 km","9 hours, 10 minutes",Delta Air Lines
ATL,HOU,3593,"696 miles / 1120 km","1 hour, 45 minutes",Delta Air Lines
ATL,HPN,2155,"780 miles / 1256 km","1 hour, 51 minutes",Delta Air Lines
ATL,HSV,2627,"151 miles / 243 km","31 minutes",Delta Air Lines
ATL,IAD,5309,"534 miles / 860 km","1 hour, 18 minutes",Delta Air Lines
ATL,IAH,5268,"689 miles / 1109 km","1 hour, 44 minutes",Delta Air Lines
ATL,ICT,3146,"781 miles / 1258 km","1 hour, 51 minutes",Delta Air Lines
ATL,ILM,1996,"377 miles / 607 km","55 minutes",Delta Air Lines
ATL,IND,3517,"432 miles / 695 km","1 hour, 5 minutes",Delta Air Lines
ATL,ISP,214,"795 miles / 1279 km","2 hours, 5 minutes",Frontier Airlines
ATL,JAC,118,"1,572 miles / 2530 km","3 hours, 31 minutes",Delta Air Lines
ATL,JAN,2694,"341 miles / 548 km","55 minutes",Delta Air Lines
ATL,JAX,5656,"270 miles / 435 km","43 minutes",Delta Air Lines
ATL,JFK,1915,"760 miles / 1223 km","1 hour, 45 minutes",Delta Air Lines
ATL,LAS,4766,"1,747 miles / 2811 km","3 hours, 52 minutes",Delta Air Lines
ATL,LAW,544,"804 miles / 1294 km","2 hours, 6 minutes",<undefined>
ATL,LAX,5406,"1,946 miles / 3132 km","4 hours, 15 minutes",Delta Air Lines
ATL,LEX,2213,"303 miles / 488 km","48 minutes",Delta Air Lines
ATL,LFT,995,"503 miles / 810 km","1 hour, 17 minutes",Delta Air Lines
ATL,LGA,10506,"761 miles / 1225 km","1 hour, 43 minutes",Delta Air Lines
ATL,LIT,2527,"453 miles / 729 km","1 hour, 10 minutes",Delta Air Lines
ATL,LWB,185,"369 miles / 593 km","56 minutes",<undefined>
ATL,LYH,625,"389 miles / 626 km","1 hour, 17 minutes",<undefined>
ATL,MCI,4140,"692 miles / 1114 km","1 hour, 43 minutes",Delta Air Lines
ATL,MCN,652,"79 miles / 128 km","40 minutes",<undefined>
ATL,MCO,9613,"404 miles / 650 km","1 hour, 1 minute",Delta Air Lines
ATL,MDT,1789,"619 miles / 997 km","1 hour, 27 minutes",Delta Air Lines
ATL,MDW,3256,"591 miles / 950 km","1 hour, 29 minutes",Delta Air Lines
ATL,MEI,674,"267 miles / 429 km","46 minutes",<undefined>
ATL,MEM,4866,"332 miles / 534 km","56 minutes",Delta Air Lines
ATL,MFE,9,"974 miles / 1567 km","2 hours, 19 minutes",<undefined>
ATL,MGM,2513,"147 miles / 236 km","31 minutes",Delta Air Lines
ATL,MHT,695,"951 miles / 1531 km","2 hours, 2 minutes",<undefined>
ATL,MIA,6628,"595 miles / 957 km","1 hour, 26 minutes",Delta Air Lines
ATL,MKE,3610,"669 miles / 1077 km","1 hour, 35 minutes",Delta Air Lines
ATL,MLB,2000,"443 miles / 712 km","1 hour, 4 minutes",Delta Air Lines
ATL,MLI,2590,"633 miles / 1019 km","1 hour, 30 minutes",Delta Air Lines
ATL,MLU,983,"448 miles / 721 km","1 hour, 9 minutes",Delta Air Lines
ATL,MOB,2224,"302 miles / 486 km","51 minutes",Delta Air Lines
ATL,MSN,384,"707 miles / 1138 km","1 hour, 38 minutes",Delta Air Lines
ATL,MSP,5368,"906 miles / 1459 km","2 hours, 8 minutes",Delta Air Lines
ATL,MSY,4695,"425 miles / 684 km","1 hour, 7 minutes",Delta Air Lines
ATL,MTJ,37,"1,352 miles / 2175 km","3 hours, 14 minutes",<undefined>
ATL,MYR,1853,"317 miles / 510 km","48 minutes",Delta Air Lines
ATL,OAJ,1178,"399 miles / 642 km","58 minutes",Delta Air Lines
ATL,OAK,90,"2,130 miles / 3428 km","4 hours, 46 minutes",Southwest Airlines
ATL,OKC,1883,"761 miles / 1224 km","1 hour, 47 minutes",Delta Air Lines
ATL,OMA,1730,"821 miles / 1321 km","1 hour, 57 minutes",Delta Air Lines
ATL,ONT,796,"1,899 miles / 3057 km","4 hours, 3 minutes",Delta Air Lines
ATL,ORD,7677,"606 miles / 975 km","1 hour, 33 minutes",Delta Air Lines
ATL,ORF,2784,"516 miles / 831 km","1 hour, 10 minutes",Delta Air Lines
ATL,PBI,4263,"545 miles / 877 km","1 hour, 21 minutes",Delta Air Lines
ATL,PDX,1095,"2,172 miles / 3495 km","4 hours, 44 minutes",Delta Air Lines
ATL,PFN,2548,"247 miles / 398 km","1 hour",<undefined>
ATL,PHF,4158,"508 miles / 818 km","1 hour, 12 minutes",Delta Air Lines
ATL,PHL,6915,"666 miles / 1071 km","1 hour, 34 minutes",Delta Air Lines
ATL,PHX,4603,"1,587 miles / 2554 km","3 hours, 36 minutes",Delta Air Lines
ATL,PIA,622,"565 miles / 909 km","1 hour, 23 minutes",Delta Air Lines
ATL,PIT,4555,"526 miles / 847 km","1 hour, 13 minutes",Delta Air Lines
ATL,PNS,4429,"272 miles / 437 km","47 minutes",Delta Air Lines
ATL,PVD,1389,"903 miles / 1453 km","1 hour, 56 minutes",Delta Air Lines
ATL,PWM,904,"1,027 miles / 1652 km","2 hours, 9 minutes",Delta Air Lines
ATL,RDU,5411,"356 miles / 573 km","55 minutes",Delta Air Lines
ATL,RIC,4532,"481 miles / 773 km","1 hour, 6 minutes",Delta Air Lines
ATL,RNO,167,"1,993 miles / 3208 km","4 hours, 29 minutes",<undefined>
ATL,ROA,1732,"357 miles / 575 km","56 minutes",Delta Air Lines
ATL,ROC,2489,"749 miles / 1206 km","1 hour, 37 minutes",Delta Air Lines
ATL,RSW,4193,"515 miles / 828 km","1 hour, 14 minutes",Delta Air Lines
ATL,SAN,2857,"1,891 miles / 3044 km","4 hours, 6 minutes",Delta Air Lines
ATL,SAT,3239,"875 miles / 1407 km","2 hours, 4 minutes",Delta Air Lines
ATL,SAV,3892,"215 miles / 345 km","37 minutes",Delta Air Lines
ATL,SBN,1038,"566 miles / 911 km","1 hour, 21 minutes",Delta Air Lines
ATL,SCE,121,"615 miles / 990 km","1 hour, 44 minutes",<undefined>
ATL,SDF,2754,"321 miles / 517 km","53 minutes",Delta Air Lines
ATL,SEA,2574,"2,182 miles / 3511 km","4 hours, 50 minutes",Delta Air Lines
ATL,SFO,3462,"2,139 miles / 3442 km","4 hours, 41 minutes",Delta Air Lines
ATL,SGF,1171,"563 miles / 906 km","1 hour, 26 minutes",Delta Air Lines
ATL,SHV,1816,"551 miles / 887 km","1 hour, 23 minutes",Delta Air Lines
