iata,country_code,region_name,icao,airport,latitude,longitude
FLL,US,Florida,KFLL,Fort Lauderdale-Hollywood International Airport,26.0726,-80.1527
PHL,US,Pennsylvania,KPHL,Philadelphia International Airport,39.8719,-75.2411
DCA,US,Virginia,KDCA,Ronald Reagan Washington National Airport,38.8522,-77.0378
SEA,US,Washington,KSEA,Seattle-Tacoma International Airport,47.449,-122.309
SAN,US,California,KSAN,San Diego International Airport,32.7336,-117.19
MDW,US,Illinois,KMDW,Chicago Midway International Airport,41.7861,-87.7525
STL,US,Missouri,KSTL,Lambert-St. Louis International Airport,38.7487,-90.37
AUS,US,Texas,KAUS,Austin-Bergstrom International Airport,30.1945,-97.6699
MCI,US,Missouri,KMCI,Kansas City International Airport,39.2976,-94.7139
MKE,US,Wisconsin,KMKE,General Mitchell International Airport,42.9472,-87.8966
MIA,US,Florida,KMIA,Miami International Airport,25.7932,-80.2906
BNA,US,Tennessee,KBNA,Nashville International Airport,36.1245,-86.6782
RDU,US,North Carolina,KRDU,Raleigh-Durham International Airport,35.8776,-78.7875
PDX,US,Oregon,KPDX,Portland International Airport,45.5887,-122.598
ABQ,US,New Mexico,KABQ,Albuquerque International Sunport,35.0402,-106.609
JAX,US,Florida,KJAX,Jacksonville International Airport,30.4941,-81.6879
SAT,US,Texas,KSAT,San Antonio International Airport,29.5337,-98.4698
IND,US,Indiana,KIND,Indianapolis International Airport,39.7173,-86.2944
MSY,US,Louisiana,KMSY,Louis Armstrong New Orleans International Airport,29.9934,-90.258
PIT,US,Pennsylvania,KPIT,Pittsburgh International Airport,40.4915,-80.2329
SMF,US,California,KSMF,Sacramento International Airport,38.6954,-121.591
BDL,US,Connecticut,KBDL,Bradley International Airport,41.9392,-72.6833
ONT,US,California,KONT,Ontario International Airport,34.056,-117.601
CMH,US,Ohio,KCMH,John Glenn Columbus International Airport,39.998,-82.8919
RSW,US,Florida,KRSW,Southwest Florida International Airport,26.5362,-81.7552
BHM,US,Alabama,KBHM,Birmingham-Shuttlesworth International Airport,33.5629,-86.7535
HOU,US,Texas,KHOU,William P. Hobby Airport,29.6454,-95.2789
OAK,US,California,KOAK,Oakland International Airport,37.7213,-122.221
